458C58,OY-CBX,VENT,SCHEMPP-HIRTH Ventus,L1P,L
459C58,OY-GBX,GLID,,L0-,-
45A058,OY-HBX,GLID,,L0-,-
45A158,OY-HJX,AS25,SCHLEICHER ASH-25,L1P,L
45A458,OY-IBX,VENT,SCHEMPP-HIRTH Ventus,L1P,L
45AC58,OY-KBX,DISC,SCHEMPP-HIRTH Discus,L1P,L
45B158,OY-LJX,AS25,SCHLEICHER ASH-25,L1P,L
45C158,OY-PJX,GLID,,L0-,-
45D458,OY-UBX,AS26,SCHLEICHER ASH-26,L1P,L
45E358,OY-XZX,VENT,SCHEMPP-HIRTH Ventus,L1P,L
45F058,OY-1022,CDUS,AUTOGYRO Calidus,G1P,L
460558,OH-CAQ,C152,CESSNA 152,L1P,L
468158,344,SIRA,TECNAM P-2002 Sierra,L1P,L
468458,SX-ABX,A320,AIRBUS A-320,L2J,M
46D458,SX-UBX,JAB2,JABIRU J160/170,L1P,L
470158,HA-ANG,AN2,ANTONOV An-2,L1P,L
470358,HA-BGY,C182,CESSNA 182 Skylane,L1P,L
471F58,HA-LWQ,A320,AIRBUS A-320,L2J,M
472258,HA-NAE,AAT3,AERO AT-3,L1P,L
473058,HA-SIA,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
478058,LN-ORC,A169,AGUSTA AW-169,H2T,L
478758,LN-SMB,RV8,VANS RV-8,L1P,L
479858,LN-OFE,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
47A758,LN-FIJ,AA5,AMERICAN AA-5 Tiger,L1P,L
480858,Q-09,H64,MCDONNELL DOUGLAS AH-64 Apache,H2T,M
484558,PH-BGA,B738,BOEING 737-800,L2J,M
484858,PH-STX,C172,CESSNA 172 Skyhawk,L1P,L
484A58,PH-SLA,C180,CESSNA  180 Skywagon,L1P,L
484B58,PH-HVB,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
484C58,PH-968,GLID,,L0-,-
484E58,PH-3C4,ULAC,,L0-,-
485058,PH-4K7,ECHO,TECNAM P-92 Echo,L1P,L
485158,PH-1FB,ZZZZ,,-0-,-
485358,PH-1LO,ZZZZ,,-0-,-
485458,PH-1RP,ZZZZ,,-0-,-
485658,PH-2PC,ZZZZ,,-0-,-
486258,PH-NXB,E295,EMBRAER ERJ-190-400,L2J,M
491458,CS-EBX,P06T,TECNAM P-2006T,L2P,L
495458,CS-UBX,ULAC,,L0-,-
498458,0715,W3,PZL-SWIDNIK W-3,H2T,L
49C258,OK-YUL 50,ELSP,A2 CZ Ellipse Spirit,L1P,L
49D058,OK-FAC,SR22,CIRRUS SR-22,L1P,L
49D158,OK-CJZ,Z37P,LET Z-37 Cmelak,L1P,L
49D258,OK-IKH,C152,CESSNA 152,L1P,L
49D358,OK-TGM,C10T,CESSNA P210 Turbine,L1T,L
49F058,GND,GND,,V0-,-
4A4258,YR-PRX,R44,ROBINSON R-44 Raven,H1P,L
4A7F58,YR-5439,NG5,BRM AERO NG-5/6 Bristell,L1P,L
4A8158,SE-DSP,RJ1H,AVRO RJ-100 Avroliner,L4J,M
4AAA58,SE-JRX,R22,ROBINSON R-22 Mariner,H1P,L
4AB358,SE-LZX,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
4AC958,SE-RJX,B737,BOEING 737-700,L2J,M
4AD358,SE-TZX,DISC,SCHEMPP-HIRTH Discus,L1P,L
4AE258,SE-XRX,EUPA,Europa,L1P,L
4B0B58,HB-EHS,BE23,BEECH 23 Sundowner,L1P,L
4B1858,HB-JFS,FA7X,DASSAULT Falcon 7X,L3J,M
4B1C58,HB-KTC,SR22,CIRRUS SR-22,L1P,L
4B2858,HB-PHG,P28A,PIPER PA-28-140/150/160/180,L1P,L
4B2958,HB-PRC,PA46,PIPER PA-46-310/350,L1P,L
4B2C58,HB-QUQ,BALL,,B0-,-
4B3958,HB-VSQ,PC24,PILATUS PC-24,L2J,M
4B4058,HB-YJO,GLST,GLASAIR SH-4 GlaStar,L1P,L
4B4358,HB-ZNC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4B4D58,HB-2225,ZZZZ,,-0-,-
4B4E58,HB-2481,DG1T,DG FLUGZEUGBAU DG-1001T,L1P,L
4B5158,HB-3249,GLID,,L0-,-
4B5258,HB-3505,GLID,,L0-,-
4CA158,256,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
4CA258,EI-DHC,B738,BOEING 737-800,L2J,M
4CA758,EI-DSZ,A320,AIRBUS A-320,L2J,M
4CA958,EI-EPI,ULAC,,L0-,-
4CAA58,EI-EVS,B738,BOEING 737-800,L2J,M
4CAB58,EI-GTH,E190,EMBRAER ERJ-190-100,L2J,M
4CAC58,EI-GWZ,A359,AIRBUS A-350-900,L2J,H
4D2258,9H-QCW,B738,BOEING 737-800,L2J,M
4D2358,9H-GRS,F900,DASSAULT Falcon 900,L3J,M
502D58,YL-ABG,BCS3,AIRBUS A220-300,L2J,M
504E58,ER-CAP,C150,CESSNA 150,L1P,L
505C58,OM-XBC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
505D58,OM-JEX,B738,BOEING 737-800,L2J,M
505E58,OM-ARX,CRUZ,CSA PS-28 Cruiser,L1P,L
507C58,UK-75705,B752,BOEING 757-200,L2J,M
508058,UR-78785,IL76,ILYUSHIN Il-76/82,L4J,H
508158,UR-NOA,FA20,DASSAULT Falcon 200,L2J,M
508258,UR-WIG,F900,DASSAULT Falcon 900,L3J,M
508458,UR-TRY,R22,ROBINSON R-22 Mariner,H1P,L
511158,ES-SAA,A320,AIRBUS A-320,L2J,M
600858,4K-AZ88,G200,AKROTECH G-200,L1P,L
601858,EZ-A004,B738,BOEING 737-800,L2J,M
702058,S2-AGV,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
704458,XY-AGV,A319,AIRBUS A-319,L2J,M
706058,9K-AOE,B77W,BOEING 777-300ER,L2J,H
710058,HZ-AK16,B77W,BOEING 777-300ER,L2J,H
71BD58,HL7558,B738,BOEING 737-800,L2J,M
71C258,HL8258,A333,AIRBUS A-330-300,L2J,H
738058,4X-EKU,B738,BOEING 737-800,L2J,M
738A58,475,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
739558,4X-CBW,C337,CESSNA 337 Super Skymaster,L2P,L
744958,JY-RJX,P28A,PIPER PA-28-140/150/160/180,L1P,L
748058,OD-BWM,P06T,TECNAM P-2006T,L2P,L
750258,9M-MTE,A333,AIRBUS A-330-300,L2J,H
750458,9M-AGN,A20N,AIRBUS A-320neo,L2J,M
758558,RP-C9934,A21N,AIRBUS A-321neo,L2J,M
760758,AP-AZX,FU24,FLETCHER FU-24,L1P,L
76D258,9V-TRX,A320,AIRBUS A-320,L2J,M
780058,B-5223,B737,BOEING 737-700,L2J,M
780258,B-5161,B738,BOEING 737-800,L2J,M
780358,B-5688,B738,BOEING 737-800,L2J,M
780458,B-1322,B738,BOEING 737-800,L2J,M
780558,B-6560,A320,AIRBUS A-320,L2J,M
780758,B-9383,DA40,DIAMOND DA-40 Club Star,L1P,L
780958,B-6957,A321,AIRBUS A-321,L2J,M
780A58,B-LBB,A333,AIRBUS A-330-300,L2J,H
780B58,B-8290,GLF4,GULFSTREAM 4,L2J,M
780C58,B-6969,B789,BOEING 787-9 Dreamliner,L2J,H
780D58,B-1739,B739,BOEING 737-900,L2J,M
780E58,B-8148,A320,AIRBUS A-320,L2J,M
780F58,B-7559,B738,BOEING 737-800,L2J,M
781058,B-70JX,B429,BELL 429 GlobalRanger,H2T,L
781158,B-8582,A320,AIRBUS A-320,L2J,M
781758,B-30A2,A20N,AIRBUS A-320neo,L2J,M
781858,B-30CW,A359,AIRBUS A-350-900,L2J,H
781958,B-10XS,C56X,CESSNA 560XL Citation XLS,L2J,M
781B58,B-650W,AJ27,COMAC ARJ-21-700 Xiangfeng,L2J,M
781C58,B-12D9,SR20,CIRRUS SR-20,L1P,L
79A058,B-2287,A321,AIRBUS A-321,L2J,M
7A4258,10150,ZZZZ,,-0-,-
7C0A58,VH-CBU,PA34,PIPER PA-34 Seneca,L2P,L
7C0B58,VH-CIY,C172,CESSNA 172 Skyhawk,L1P,L
7C1058,VH-DII,C182,CESSNA 182 Skylane,L1P,L
7C1758,VH-EWA,B412,BELL 412,H2T,L
7C1C58,VH-FVU,AT75,ATR-72-500,L2T,M
7C2058,VH-GOA,AS25,SCHLEICHER ASH-25,L1P,L
7C2458,VH-HGQ,T206,CESSNA T206 Turbo Stationair,L1P,L
7C2B58,VH-IUI,GLID,,L0-,-
7C2E58,VH-JFU,C441,CESSNA 441 Conquest,L2T,L
7C3358,VH-KFE,BE20,BEECH 200 Super King Air,L2T,M
7C3458,VH-KMI,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
7C3858,VH-LEY,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
7C3E58,VH-MLM,SLG2,AIRPLANE FACTORY Sling 2,L1P,L
7C4458,VH-NSA,C441,CESSNA 441 Conquest,L2T,L
7C4758,VH-ODM,COL4,CESSNA 400 Corvalis TT,L1P,L
7C4958,VH-ORU,P46T,PIPER PA-46-500TP,L1T,L
7C4A58,VH-OYY,R22,ROBINSON R-22 Mariner,H1P,L
7C5358,VH-QQY,F70,FOKKER 70,L2J,M
7C5658,VH-RCA,SR22,CIRRUS SR-22,L1P,L
7C5C58,VH-SIY,C525,CESSNA 525 CitationJet,L2J,L
7C6258,VH-TPM,P46T,PIPER PA-46-500TP,L1T,L
7C6358,VH-TWQ,TAIL,WITTMAN Tailwind,L1P,L
7C6858,VH-UWA,C172,CESSNA 172 Skyhawk,L1P,L
7C6A58,VH-VAI,BE20,BEECH 200 Super King Air,L2T,M
7C6B58,VH-VHM,B06,BELL 206 JetRanger,H1T,L
7C6C58,VH-VOQ,B738,BOEING 737-800,L2J,M
7C7658,VH-XNU,B733,BOEING 737-300,L2J,M
7C7758,VH-XUY,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
7C7A58,VH-YGA,C172,CESSNA 172 Skyhawk,L1P,L
7C7B58,VH-YNE,C525,CESSNA 525 CitationJet,L2J,L
7C7F58,VH-ZFU,C172,CESSNA 172 Skyhawk,L1P,L
